codigo_imovel;cidade;bairro;tipo_imovel;mobilia;aceita_pet;area_m2;quartos;banheiros;vagas_garagem;andar;idade_anos;distancia_centro_km;condominio_mensal_brl;iptu_anual_brl;aluguel_mensal_brl;area_ft2;area_minmax;area_zscore;faixa_aluguel;mobilia_mobiliado;mobilia_sem_mobilia;mobilia_semi_mobiliado
IMV-0001;Maceio;Farol;casa;mobiliado;sim;111.2;4;4;1;0;0.0;1.5;0.0;2273.12;5050.0;1196.94568;0.35887562572198695;0.46155488435528635;alto;1;0;0
IMV-0002;Maceio;Ponta Verde;casa;mobiliado;sim;153.1;5;4;2;0;29.0;3.3;260.0;3719.04;7220.0;1647.95309;0.5202156334231806;1.3196247280917652;alto;1;0;0
IMV-0003;Maceio;Tabuleiro;apartamento;sem_mobilia;sim;82.95;4;4;2;2;31.0;11.1;793.37;2057.34;4050.0;892.865505;0.2500962649210628;-0.1169766928656095;alto;0;1;0
IMV-0004;Maceio;Farol;apartamento;sem_mobilia;sim;39.0;3;2;1;7;20.0;0.7;467.51;1272.96;3510.0;419.7921;0.08086253369272238;-1.017028474064136;medio;0;1;0
IMV-0005;Maceio;Jatiuca;apartamento;sem_mobilia;nao;60.3;2;2;1;5;31.0;3.6;427.4;2032.36;3310.0;649.0631699999999;0.16288024643819793;-0.5808259043365226;medio;0;1;0
IMV-0006;Maceio;Jatiuca;apartamento;semi_mobiliado;sim;85.9;4;3;2;8;11.0;4.8;649.52;2435.64;5650.0;924.61901;0.26145552560646906;-0.05656366090802916;alto;0;0;1
IMV-0008;Maceio;Serraria;apartamento;sem_mobilia;nao;71.8;3;2;1;2;35.0;7.1;512.42;1310.19;3600.0;772.8480199999999;0.2071621101270697;-0.34531747467137913;medio;0;1;0
IMV-0009;Maceio;Cruz das Almas;apartamento;sem_mobilia;sim;74.5;3;2;1;11;32.0;7.3;557.62;2013.55;3550.0;801.91055;0.2175587216018483;-0.2900241911847802;medio;0;1;0
IMV-0010;Maceio;Ponta Verde;kitnet;mobiliado;sim;28.2;1;1;1;10;22.0;4.1;271.3;1718.71;3880.0;303.54197999999997;0.03927608779360801;-1.2382016080105316;medio;1;0;0
IMV-0011;Maceio;Jatiuca;casa;sem_mobilia;sim;150.5;5;4;1;0;38.0;4.1;260.0;3488.98;6220.0;1619.96695;0.5102040816326531;1.2663793439935591;alto;0;1;0
IMV-0012;Maceio;Gruta;cobertura;mobiliado;sim;181.8;4;3;2;20;32.0;5.5;1491.19;3395.51;7580.0;1956.8770200000001;0.6307277628032346;1.907371852560428;alto;1;0;0
IMV-0013;Maceio;Mangabeiras;apartamento;semi_mobiliado;sim;86.2;3;2;1;1;12.0;4.3;642.03;1935.8;5410.0;927.84818;0.2626107046592222;-0.050419962742851564;alto;0;0;1
IMV-0014;Maceio;Ponta Verde;apartamento;mobiliado;sim;49.2;1;2;1;1;6.0;1.3;493.64;2000.94;4870.0;529.58388;0.1201386214863304;-0.8081427364480956;alto;1;0;0
IMV-0015;Maceio;Gruta;casa;sem_mobilia;sim;111.2;4;3;2;0;32.0;6.0;0.0;2465.88;4440.0;1196.94568;0.35887562572198695;0.46155488435528635;alto;0;1;0
IMV-0016;Maceio;Ponta Verde;apartamento;mobiliado;nao;63.6;3;3;1;4;21.0;1.5;469.8;2035.63;9120.0;684.58404;0.17558721601848287;-0.5132452245195682;alto;1;0;0
IMV-0017;Maceio;Jatiuca;casa;sem_mobilia;sim;167.4;6;5;2;0;37.0;4.6;427.4;3624.47;6730.0;1801.87686;0.575279168271082;1.6124743406319004;alto;0;1;0
IMV-0018;Maceio;Tabuleiro;casa;semi_mobiliado;sim;118.6;5;3;1;0;13.0;10.0;260.0;2378.53;4920.0;1276.59854;0.38737004235656525;0.613099439096335;alto;0;0;1
IMV-0019;Maceio;Tabuleiro;apartamento;mobiliado;sim;89.1;3;3;1;2;11.0;11.5;467.27;1792.23;3440.0;959.0634899999999;0.2737774355025029;0.008969119520532256;medio;1;0;0
IMV-0020;Maceio;Jatiuca;apartamento;sem_mobilia;sim;82.95;2;2;1;7;31.0;4.2;431.26;1450.84;2970.0;892.865505;0.2500962649210628;-0.1169766928656095;medio;0;1;0
IMV-0021;Maceio;Gruta;studio;mobiliado;sim;26.2;1;1;1;15;2.0;6.4;317.64;784.67;2590.0;282.01417999999995;0.031574894108586826;-1.2791595957783826;medio;1;0;0
IMV-0022;Maceio;Ponta Verde;apartamento;semi_mobiliado;nao;41.1;2;2;1;10;30.0;4.1;378.6;1679.07;4690.0;442.39629;0.08894878706199462;-0.9740225869078923;alto;0;0;1
IMV-0023;Maceio;Tabuleiro;apartamento;semi_mobiliado;sim;88.5;3;3;1;16;18.0;9.9;533.87;1713.14;3520.0;952.60515;0.27146707739699655;-0.0033182768098229377;medio;0;0;1
IMV-0024;Maceio;Cruz das Almas;apartamento;mobiliado;sim;58.9;3;3;2;9;27.0;7.9;541.6;1712.98;4600.0;633.99371;0.1574894108586831;-0.6094964957740182;alto;1;0;0
IMV-0025;Maceio;Serraria;casa;sem_mobilia;nao;145.3;4;4;1;0;29.0;8.6;0.0;2832.77;4840.0;1563.99467;0.49018097805159805;1.1598885757971467;alto;0;1;0
IMV-0026;Maceio;Mangabeiras;apartamento;sem_mobilia;nao;56.3;3;3;1;6;38.0;5.1;371.13;952.74;3710.0;606.00757;0.14747785906815555;-0.6627418798722247;medio;0;1;0
IMV-0027;Maceio;Serraria;apartamento;sem_mobilia;sim;79.5;2;2;2;2;6.0;9.2;448.01;1898.86;3390.0;855.73005;0.23681170581440125;-0.1876292217651526;medio;0;1;0
IMV-0028;Maceio;Mangabeiras;apartamento;semi_mobiliado;sim;65.8;3;2;1;14;40.0;4.4;553.17;1636.5;4180.0;708.2646199999999;0.18405852907200615;-0.46819143797493223;alto;0;0;1
IMV-0029;Maceio;Serraria;cobertura;sem_mobilia;nao;119.8;5;4;1;19;35.0;9.7;1206.09;2644.27;5730.0;1289.51522;0.391990758567578;0.6376742317570456;alto;0;1;0
IMV-0030;Maceio;Gruta;cobertura;mobiliado;nao;221.1;5;4;2;16;9.0;7.2;427.4;4519.77;9970.0;2379.8982899999996;0.7820562187139006;2.7121963121987003;alto;1;0;0
IMV-0031;Maceio;Farol;kitnet;mobiliado;sim;28.7;1;1;0;16;39.0;1.8;250.86;1347.41;2160.0;308.92393;0.0412013862148633;-1.2279621110685688;medio;1;0;0
IMV-0032;Maceio;Tabuleiro;apartamento;sem_mobilia;sim;82.9;3;2;1;16;32.0;11.2;613.13;1564.26;3470.0;892.32731;0.24990373507893726;-0.1180006425598057;medio;0;1;0
IMV-0033;Maceio;Farol;casa;sem_mobilia;sim;146.1;3;3;0;0;21.0;2.0;0.0;3285.57;4350.0;1572.6057899999998;0.49326145552560646;1.1762717709042867;alto;0;1;0
IMV-0034;Maceio;Tabuleiro;apartamento;mobiliado;nao;64.0;2;2;0;17;12.0;10.3;462.83;1124.37;2850.0;688.8896;0.1771274547554871;-0.5050536269659981;medio;1;0;0
IMV-0035;Maceio;Farol;casa;semi_mobiliado;sim;82.95;4;4;2;0;25.0;2.9;0.0;2882.86;5120.0;892.865505;0.2500962649210628;-0.1169766928656095;alto;0;0;1
IMV-0036;Maceio;Gruta;apartamento;semi_mobiliado;sim;59.2;2;2;0;13;40.0;5.3;608.51;1744.27;2940.0;637.22288;0.1586445899114363;-0.6033527976088405;medio;0;0;1
IMV-0037;Maceio;Gruta;studio;mobiliado;nao;41.2;1;1;0;5;6.0;5.8;243.53;1206.11;3010.0;443.47268;0.08933384674624568;-0.9719746875194998;medio;1;0;0
